
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
46.7681 18.7072 16.3688 42.1274 33.1341 35.7973 
CV Recruit
0.520981 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 6.84428 7.41712 0.392 0.392 0.392 0.392 4.996e-16 
2022  0 6.84428 7.41712 1.567 1.567 1.567 1.567 8.17718e-10 
2023  0 6.84428 7.41712 1.567 1.567 1.567 1.567 5.12704e-08 
2024  0 6.84428 7.41712 16.2873 16.5679 16.6194 17.1336 0.285539 
2025  0 6.84428 7.41712 12.9641 13.6716 13.7803 14.8973 0.659544 
2026  0 6.84428 7.41712 10.3611 11.4499 11.6021 13.2662 0.949554 
2027  0 6.84428 7.41712 8.5838 9.87634 10.0196 11.9643 1.08353 
2028  0 6.84428 7.41712 7.26484 8.74498 8.88212 10.9209 1.13242 
2029  0 6.84428 7.41712 6.40288 7.94086 8.06773 10.1081 1.16343 
2030  0 6.84428 7.41712 5.42549 7.38874 7.47381 9.53171 1.22482 
2031  0 6.84428 7.41712 4.94981 6.98451 7.04648 9.20608 1.27519 
2032  0 6.84428 7.41712 4.62123 6.70515 6.75834 8.94001 1.30589 
2033  0 6.84428 7.41712 4.47971 6.5486 6.56447 8.89874 1.33381 
2034  0 6.84428 7.41712 4.22745 6.45264 6.42537 8.67026 1.33599 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 46.7681 18.7072 16.3688 35.7973 35.7973 35.7973 35.7973 2.84217e-14 
2022 46.7681 18.7072 16.3688 41.8628 41.8981 41.9062 41.9775 0.0382992 
2023 46.7681 18.7072 16.3688 45.988 46.187 46.2237 46.5848 0.202177 
2024 46.7681 18.7072 16.3688 47.6636 48.3794 48.5015 49.7005 0.693401 
2025 46.7681 18.7072 16.3688 39.1704 40.8562 41.109 43.8211 1.55852 
2026 46.7681 18.7072 16.3688 31.8506 34.6104 34.9561 39.3059 2.41585 
2027 46.7681 18.7072 16.3688 26.4207 29.8701 30.2717 35.3605 2.92666 
2028 46.7681 18.7072 16.3688 22.3883 26.4093 26.8322 32.5536 3.15614 
2029 46.7681 18.7072 16.3688 19.6572 23.993 24.3498 29.93 3.26002 
2030 46.7681 18.7072 16.3688 17.6451 22.2667 22.5965 28.4209 3.29871 
2031 46.7681 18.7072 16.3688 16.7531 21.013 21.4014 26.9528 3.27544 
